Name,Rating,Amount of Ratings,Short Description,Details,Ingredients,Directions,Author,Nutrition facts
Air Fryer Chicken Thighs,4.7,(165),These tasty air fryer chicken thighs have juicy meat and crispy skin; you will love this quick chicken recipe that is ready for the table in less than 30 minutes!,"

Prep Time:
10 mins


Cook Time:
20 mins


Total Time:
30 mins


Servings:
4 

","

4  skin-on, boneless chicken thighs


2 teaspoons extra-virgin olive oil


1 teaspoon smoked paprika


¾ teaspoon garlic powder


½ teaspoon salt


½ teaspoon ground black pepper

","

 Gather all ingredients and preheat an air fryer to 400 degrees F (200 degrees C).

 





 
 Dotdash Meredith Food Studios




 Pat chicken thighs dry with a paper towel and brush skins with olive oil. Place chicken thighs, skin-side down, in a single layer on a plate.

 





 
 Dotdash Meredith Food Studios




 Combine smoked paprika, garlic powder, salt, and pepper in a bowl. Sprinkle 1/2 of the seasoning mixture evenly over thighs. Turn thighs over and evenly sprinkle with remaining seasoning. Arrange thighs, skin-side up, in a single layer in the air fryer basket.

 





 
 Dotdash Meredith Food Studios




 Cook in the preheated air fryer until thighs are brown and the juices run clear, about 18 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).

 





 
 Dotdash Meredith Food Studios




 Serve and enjoy!

 





 
 Allrecipes



","
By
Brenda Venable 
","
Nutrition Facts (per serving)



213
Calories


14g 
Fat


1g 
Carbs


19g 
Protein



"
Oven-Fried Chicken,4.5,"(1,031)",This oven-fried chicken is so much easier and less messy than traditional fried chicken! Everyone I have given the recipe to has loved it as well.,"

Prep Time:
15 mins


Cook Time:
 1 hr


Total Time:
 1 hr 15 mins


Servings:
6 

","

12 chicken thighs, patted dry


1 cup all-purpose flour


  salt and pepper to taste


1 cup Italian seasoned bread crumbs


3  eggs


½ cup vegetable oil


1 teaspoon paprika

","

 Preheat the oven to 350 degrees F (175 degrees C).




 Place flour in a shallow plate or bowl and season with salt and pepper to taste. Put bread crumbs in another shallow plate or bowl and beat eggs in another bowl.

 





 
 Dotdash Meredith Food Studios




 Dredge chicken piece by piece in the flour, then the egg, then the bread crumbs, until all pieces are coated.

 





 
 Dotdash Meredith Food Studios




 Pour oil into a large baking dish; add the breaded chicken thighs and sprinkle with paprika to taste.

 





 
 Dotdash Meredith Food Studios




 Bake in the preheated oven for 30 minutes, then turn pieces over and bake for another 30 minutes. Remove from the oven and drain on paper towels.

 





 
 Dotdash Meredith Food Studios




 Serve hot and enjoy!

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
COOKIE240
","
Nutrition Facts (per serving)



310
Calories


15g 
Fat


18g 
Carbs


24g 
Protein



"
Lemon Chicken Orzo Soup,4.8,(498),"This lemon chicken orzo soup is comfort in a bowl! It is so flavorful with tender pieces of chicken in a lemony broth with orzo pasta, carrots, onions, celery, and baby spinach. This has quickly become one of my family's favorite soup recipes.","

Prep Time:
20 mins


Cook Time:
30 mins


Total Time:
50 mins


Servings:
12 


Yield:
6 quarts

","

8 ounces orzo pasta


1 teaspoon olive oil


3 medium carrots, chopped, or more to taste


3 ribs celery, chopped


1 medium onion, chopped


2 cloves garlic, minced


½ teaspoon dried thyme


½ teaspoon dried oregano


  salt and ground black pepper to taste


1  bay leaf


3 (32 ounce) cartons fat-free, low-sodium chicken broth


½ cup fresh lemon juice


1  lemon, zested


8 ounces cooked chicken breast, chopped


1 (8 ounce) package baby spinach leaves


1  lemon, sliced for garnish (Optional)


¼ cup grated Parmesan cheese (Optional)

","

 Gather the ingredients.




 Bring a large pot of lightly salted water to a boil. Stir in orzo and return to a boil. Cook pasta uncovered until partially cooked through but not yet soft, about 5 minutes; drain and rinse with cold water until cooled completely.




 Meanwhile, heat olive oil in a large pot over medium heat. Add carrots, celery, and onion; cook and stir until vegetables begin to soften and onion becomes translucent, about 5 minutes. Add garlic; cook and stir until fragrant, about 1 minute more. Season mixture with thyme, oregano, bay leaf, salt, and black pepper; continue cooking another 30 seconds before pouring chicken broth into the pot.




 Bring broth to a boil. Partially cover the pot, reduce heat to medium-low, and simmer until vegetables are just tender, about 10 minutes.




 Stir orzo, lemon juice, and lemon zest into broth; add chicken. Cook until chicken and orzo are heated through, about 5 minutes. Add baby spinach; cook until spinach wilts into broth and orzo is tender, 2 to 3 minutes.




 Ladle soup into bowls; garnish with lemon slices and Parmesan cheese.

 





 
 lutzflcat



","
Submitted by
ReneePaj
","
Nutrition Facts (per serving)



167
Calories


4g 
Fat


22g 
Carbs


12g 
Protein



"
This Marry Me Chicken Soup Is a Bowlful of Pure Love,4.9,(123),You'll want to put a ring on this recipe.,"

Prep Time:
20 mins


Cook Time:
40 mins


Total Time:
 1 hr


Servings:
6 (serving size: about 2 cups)

","

½ cup drained julienne-cut sun-dried tomatoes packed in oil with herbs


1 tablespoon oil from sun-dried tomato jar, divided


1 ½ cups chopped yellow onion


4 medium garlic cloves, minced (about 4 teaspoons)


3 tablespoons tomato paste


2 (32-ounce) packages chicken broth


1 cup heavy whipping cream


4 teaspoons chopped fresh basil, plus more for garnish (optional)


2 teaspoons kosher salt


1 ½ teaspoons dried Italian seasoning


1 teaspoon garlic powder


¼ teaspoon crushed red pepper, plus more for garnish


8 ounces uncooked medium shell pasta 


3 cups packed roughly chopped fresh baby spinach


2 cups shredded rotisserie chicken


8 ounces cream cheese, cubed, at room temperature 


1 ½ ounces Parmesan cheese, finely shredded, plus more for garnish

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Heat oil from sun-dried tomatoes in a large Dutch oven over medium until shimmering. Add onion and garlic; cook, stirring often, until softened, 3 to 4 minutes.

 





 
 Dotdash Meredith Food Studios




 Add tomato paste and sun-dried tomatoes; cook, stirring constantly, until tomato paste is slightly deeper red in color, about 2 minutes.

 





 
 Dotdash Meredith Food Studios




 Stir in broth, cream, basil, salt, Italian seasoning, garlic powder, and crushed red pepper; bring to a boil over medium, stirring occasionally, about 12 minutes.

 





 
 Dotdash Meredith Food Studios




 Add pasta and reduce heat to medium-low; cook, stirring occasionally, until pasta is al dente, about 12 minutes.

 





 
 Dotdash Meredith Food Studios




 Reduce heat to low, and add spinach, chicken, cream cheese, and Parmesan; cook, stirring often, until cream cheese and Parmesan are melted and chicken is heated through, about 5 minutes.

 





 
 Dotdash Meredith Food Studios




 Garnish with additional Parmesan, basil, and red pepper. Serve immediately.

 





 
 Dotdash Meredith Food Studios



","
By
 Tricia Manzanero
 






 

Tricia Manzanero




 


 

 
Tricia Manzanero Stuedeman is a recipe tester and developer for Dotdash Meredith. Thanks to her huge, ever-hungry Filipino family, Tricia has always had a passion for all things food-related, with a particular obsession with baking and pastry arts.



Allrecipes' editorial guidelines


","
Nutrition Facts (per serving)



655
Calories


44g 
Fat


36g 
Carbs


33g 
Protein



"
Old-Fashioned Chicken and Dumplings,4.3,(170),This old-fashioned chicken and dumplings recipe is comfort food that can't be topped!,"

Prep Time:
15 mins


Cook Time:
45 mins


Total Time:
 1 hr


Servings:
20 

","

7 pounds cut up chicken pieces


4 cups chicken stock


2  onions, chopped


3 stalks celery, chopped


2 teaspoons salt

","

 Gather the ingredients.

 





 
 Dotdash Meredith Food Studios




 Start the soup: Place chicken pieces in a large pot; add chicken stock, onions, celery, and salt. Bring to a boil over medium-low heat, then simmer, partially covered, until chicken is tender, about 15 to 20 minutes.

 





 
 Dotdash Meredith Food Studios




 Meanwhile, make the dumplings: Beat egg and milk together in a large mixing bowl. Mix in 1 cup flour, baking powder, and salt.

 





 
 Dotdash Meredith Food Studios




 Grate cold butter into the wet flour mixture; stir in parsley.

 





 
 Dotdash Meredith Food Studios




 Dollop 6 large spoonfuls of dumpling mixture onto the top of the simmering chicken. Cover the pot and steam dumplings until fluffy, 10 minutes more.

 





 
 Dotdash Meredith Food Studios




 Remove dumplings and chicken pieces to a large dish; shred chicken and discard bones. Cover and set aside, keeping warm.

 





 
 Dotdash Meredith Food Studios




 For the gravy: Strain stock left in the pot, pressing the vegetables to release more flavor; return stock to the pot.

 





 
 Dotdash Meredith Food Studios




 Whisk water with remaining 1/2 cup flour until smooth; stir into the strained stock. Season with pepper and bring to a boil, stirring constantly, to thicken.

 





 
 Dotdash Meredith Food Studios




 Stir in chicken and top with dumplings.

 





 
 Dotdash Meredith Food Studios




 Serve with parsley and enjoy!

 





 
 Dotdash Meredith Food Studios



","
Submitted by
Karena
","
Nutrition Facts (per serving)



400
Calories


26g 
Fat


9g 
Carbs


31g 
Protein



"
King Ranch Chicken Casserole,4.5,(571),"This classic King Ranch chicken casserole is bursting with chicken, corn tortillas, tomatoes, peppers, and cheesy goodness. From what I hear, it's impossible to go to any sort of potluck in Texas and not see one of these.","

Prep Time:
30 mins


Cook Time:
45 mins


Total Time:
 1 hr 15 mins


Servings:
8 


Yield:
1 9x13-inch casserole

","

1 tablespoon vegetable oil


1 medium white onion, diced


1 medium red bell pepper, diced


1 medium green bell pepper, diced


1 (10.5 ounce) can condensed cream of mushroom soup


1 (10.5 ounce) can condensed cream of chicken soup


1 (10 ounce) can diced tomatoes with green chile peppers (such as RO*TEL®)


1 cup chicken broth


2 tablespoons sour cream


2 teaspoons ground cumin


1 teaspoon ancho chile powder


½ teaspoon dried oregano


¼ teaspoon chipotle chile powder


1 (3 pound) cooked chicken, torn into shreds or cut into chunks


1 (8 ounce) package shredded Cheddar cheese


10 (6 inch) corn tortillas, cut into quarters

","

 Preheat the oven to 350 degrees F (175 degrees C).




 Heat oil in a large skillet over high heat. Saute onion and bell peppers in the hot oil until warmed through, about 2 minutes. Transfer to a large bowl.

 





 
 Dotdash Meredith Food Studios




 Add both cans of condensed soup, diced tomatoes with chile peppers, chicken broth, sour cream, cumin, ancho chile powder, oregano, and chipotle chile powder; mix until sauce is well-combined.

 





 
 Dotdash Meredith Food Studios




 Spread a few tablespoons of sauce in the bottom of a 9x13-inch baking dish. Layer with 1/2 of the chicken, 1/2 of the sauce, 1/2 of the Cheddar cheese, and 1/2 of the tortillas.

 





 
 Dotdash Meredith Food Studios




 Spread the remaining chicken over the tortillas. Spread all but 1/2 cup of the remaining sauce over the chicken, then top with another 1/3 of the Cheddar, and the remaining tortillas. Spread the remaining 1/2 cup over top, and sprinkle with the remaining Cheddar.

 





 
 Dotdash Meredith Food Studios




 Bake casserole in the preheated oven until bubbling, about 40 minutes.

 





 
 Dotdash Meredith Food Studios




 Turn on the broiler and broil until the top is golden, 2 to 3 more minutes.

 





 
 Dotdash Meredith Food Studios




 Serve hot and enjoy!

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
By
 John Mitzewich
 






 

John Mitzewich




 


 

 
John Mitzewich — aka Chef John — has produced more than 1,500 cooking videos for Allrecipes. He's the actor, director, and screenwriter whose hands and voice confidently walk you through techniques.



Allrecipes' editorial guidelines


","
Nutrition Facts (per serving)



479
Calories


28g 
Fat


25g 
Carbs


32g 
Protein



"
Triple-Dipped Fried Chicken,4.4,(976),"This fried chicken batter yields the crispiest, spiciest, homemade fried chicken I have ever tasted! It has been a picnic favorite in my family for years and tastes equally good served hot or cold.","

Prep Time:
30 mins


Cook Time:
15 mins


Total Time:
45 mins


Servings:
6 

","

1 quart vegetable oil for frying


4 ⅓ cups all-purpose flour, divided


1 ½ tablespoons garlic salt


1 tablespoon ground black pepper


1 tablespoon paprika


½ teaspoon poultry seasoning


1 ½ cups beer, or as needed


2  egg yolks, beaten


1 teaspoon salt


¼ teaspoon ground black pepper


1 (3 pound) whole chicken, cut into pieces

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Heat oil in a deep fryer to 350 degrees F (175 degrees C). Mix 3 cups flour, garlic salt, 1 tablespoon pepper, paprika, and poultry seasoning together in a medium bowl.

 





 
 Dotdash Meredith Food Studios




 Stir 1 1/2 cups beer, remaining 1 1/3 cups flour, egg yolks, salt, and 1/4 teaspoon pepper together in a separate bowl; thin with more beer if batter is too thick.

 





 
 Dotdash Meredith Food Studios




 Moisten chicken pieces with a little water, then dip in seasoned flour mixture. Shake off excess and dip in beer batter, then dip in the seasoned flour mixture once more.

 





 
 Dotdash Meredith Food Studios




 Lower chicken pieces carefully into the hot oil in batches. Fry until crispy and well-browned, about 15 to 18 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).

 





 
 Dotdash Meredith Food Studios




 Transfer to a paper towel-lined plate to drain. Enjoy!

 





 
 Dotdash Meredith Food Studios



","
Submitted by
QUIRKYIQ
","
Nutrition Facts (per serving)



661
Calories


19g 
Fat


73g 
Carbs


42g 
Protein



"
Chicken Pot Pie,4.8,"(13,438)","A delicious chicken pie made from scratch with carrots, peas, and celery in a pre-made crust. Add thyme and poultry seasoning for more flavor.","

Prep Time:
20 mins


Cook Time:
50 mins


Additional Time:
10 mins


Total Time:
 1 hr 20 mins


Servings:
8 


Yield:
1 (9-inch) pie

","

1 pound skinless, boneless chicken breast halves - cubed


1 cup sliced carrots


1 cup frozen green peas


½ cup sliced celery


⅓ cup butter


⅓ cup chopped onion


⅓ cup all-purpose flour


½ teaspoon salt


¼ teaspoon black pepper


¼ teaspoon celery seed


1 ¾ cups chicken broth


⅔ cup milk


2 (9-inch)  unbaked pie crusts

","

 Gather all ingredients and preheat the oven to 425 degrees F (220 degrees C.)

 





 
 Dotdash Meredith Food Studios




 Combine chicken, carrots, peas, and celery in a saucepan; add water to cover and bring to a boil. Boil for 15 minutes, then remove from the heat and drain.

 





 
 Dotdash Meredith Food Studios




 While chicken is cooking, melt butter in another saucepan over medium heat. Add onion and cook until soft and translucent, 5 to 7 minutes. Stir in flour, salt, pepper, and celery seed.

 





 
 Dotdash Meredith Food Studios




 Slowly stir in chicken broth and milk.

 





 
 Dotdash Meredith Food Studios




 Reduce heat to medium-low and simmer until thick, 5 to 10 minutes. Remove from heat and set aside.

 





 
 Dotdash Meredith Food Studios




 Place chicken and vegetables in the bottom pie crust. Pour hot broth mixture over top.

 





 
 Dotdash Meredith Food Studios




 Cover with top crust, seal the edges, and cut away any excess dough. Make several small slits in the top crust to allow steam to escape.

 





 
 Dotdash Meredith Food Studios




 Bake in the preheated oven until pastry is golden brown and filling is bubbly, 30 to 35 minutes. Cool for 10 minutes before serving.

 





 
 Dotdash Meredith Food Studios




 Enjoy!

 





 
 Dotdash Meredith Food Studios



","
Submitted by
Robbie Rice
","
Nutrition Facts (per serving)



412
Calories


24g 
Fat


30g 
Carbs


18g 
Protein



"
Slow Cooker Chicken and Dumplings,4.4,"(9,914)","An easy crockpot chicken and dumplings recipe for a filling, comforting meal on a cold, snowy day. I have four children who are picky eaters, and they love this!","

Prep Time:
10 mins


Cook Time:
 5 hrs


Total Time:
 5 hrs 10 mins


Servings:
8 

","

4  skinless, boneless chicken breast halves


2 tablespoons butter


2 (10.5 ounce) cans condensed cream of chicken soup


1 medium onion, finely diced


1 (10 ounce) package refrigerated biscuit dough


2 cups water, or as needed to cover

","

 Place chicken, condensed soup, onion, and butter in a slow cooker. Add enough water to cover; stir well. Cover and cook on High for 5 to 6 hours.

 





 
 Dotdash Meredith Food Studios




 About 30 minutes before serving, tear biscuit dough into pieces. Place dough in the slow cooker. Cook until dough is no longer raw in the center.

 





 
 Dotdash Meredith Food Studios




 Serve hot and enjoy!

 





 
 DOTDASH MEREDITH FOOD STUDIOS



","
Submitted by
Janiece Mason
","
Nutrition Facts (per serving)



385
Calories


18g 
Fat


37g 
Carbs


18g 
Protein



"
Simple Chicken Brine,4.7,(300),This simple chicken brine will help make the meat more tender and juicy.,"

Prep Time:
10 mins


Additional Time:
 4 hrs


Total Time:
 4 hrs 10 mins


Yield:
1 gallon

","

1 gallon warm water


¾ cup kosher salt


¾ cup soy sauce


⅔ cup sugar


¼ cup olive oil

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Pour warm water into a container that is twice the volume of the water.

 





 
 Dotdash Meredith Food Studios




 Add salt, soy sauce, sugar, and olive oil; stir until sugar and salt have dissolved.

 





 
 Dotdash Meredith Food Studios




 Allow brine to cool to room temperature.

 





 
 Dotdash Meredith Food Studios



","
Submitted by
Jay
",Nutrition facts not found
Grilled Chicken Marinade,4.7,(276),This grilled chicken marinade is the best! It is so flavorful and so simple to prep with easy pantry ingredients. Perfect for any occasion. ,"

Prep Time:
10 mins


Cook Time:
10 mins


Additional Time:
 4 hrs


Total Time:
 4 hrs 20 mins


Servings:
5 

","

¼ cup red wine vinegar


¼ cup reduced-sodium soy sauce


¼ cup olive oil


1 ½ teaspoons dried parsley flakes


½ teaspoon dried basil


½ teaspoon dried oregano


¼ teaspoon garlic powder


¼ teaspoon ground black pepper


5  skinless, boneless chicken breasts, thinly sliced

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Whisk vinegar, soy sauce, olive oil, parsley, basil, oregano, garlic powder, and black pepper together in a bowl.

 





 
 Dotdash Meredith Food Studios




 Pour into a resealable plastic bag. Add chicken, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, at least 4 hours.

 





 
 Dotdash Meredith Food Studios




 Preheat grill for medium-low heat and lightly oil the grate. Drain and discard marinade.




 Grill chicken on the preheated grill until no longer pink in the center, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
Jennifer
","
Nutrition Facts (per serving)



233
Calories


14g 
Fat


2g 
Carbs


24g 
Protein



"
Chicken and Stuffing Casserole,4.6,(258),"This chicken and stuffing casserole is creamy and comforting on a cool winter evening — the whole family will love it! The crispy topping on this old-fashioned casserole is easy to make with a quick-cooking stuffing mix. A store-bought rotisserie chicken is required, but if you have leftover chicken on hand, use it! Leftovers are yummy, too.","

Prep Time:
15 mins


Cook Time:
 1 hr 10 mins


Total Time:
 1 hr 25 mins


Servings:
8 


Yield:
1 (9x13-inch) casserole

","

  cooking spray


1 ½ cups water


¼ cup butter


1 (6 ounce) package quick-cooking stuffing mix (such as Stove Top), or more to taste


1 tablespoon butter


1 medium onion, diced


3 stalks celery, diced, or more to taste


1 (10.5 ounce) can  low-sodium cream of chicken soup


½ (10.5 ounce) can  low-sodium cream of mushroom soup


1 (8 ounce) container sour cream


1 whole cooked rotisserie chicken - skinned, boned, and meat shredded


  salt and ground black pepper to taste

","

 Preheat the oven to 375 degrees F (190 degrees C). Spray a 9x13-inch baking dish with cooking spray.

 





 
 Dotdash Meredith Food Studios.




 Bring water and 1/4 cup butter to a boil in a saucepan over medium heat. Add stuffing mix and stir to combine. Remove the saucepan from the heat, cover, and let sit until water is absorbed, about 5 minutes. Fluff stuffing with a fork.

 





 
 Dotdash Meredith Food Studios

 





 
 Dotdash Meredith Food Studios




 While you are preparing stuffing, melt 1 tablespoon butter in a skillet over medium heat. Add onion and celery; cook and stir until softened, 5 to 10 minutes.

 





 




 Mix both condensed soups with sour cream in a bowl until well combined.

 





 
 Dotdash Meredith Food Studios




 Spread shredded chicken in the bottom of the prepared baking dish. Layer onion mixture over chicken and season with salt and pepper.

 





 
 Dotdash Meredith Food Studios

 





 
 Dotdash Meredith Food Studios




 Top with soup mixture and spread stuffing evenly over top.

 





 
 Dotdash Meredith Food Studios

 





 
 Dotdash Meredith Food Studios




 Bake in the preheated oven until filling is bubbly and topping is golden brown, about 1 hour.

 





 
 Dotdash Meredith Food Studios




 Serve hot and enjoy!

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
CathyP
","
Nutrition Facts (per serving)



362
Calories


21g 
Fat


20g 
Carbs


20g 
Protein



"
Creamy Chicken Cordon Bleu Casserole,4.6,(230),This chicken Cordon Bleu casserole has all the creamy and wonderful flavor of the traditional dish with a little of the fat and hassle removed.,"

Prep Time:
10 mins


Cook Time:
45 mins


Total Time:
55 mins


Servings:
8 


Yield:
1 (9x13-inch) casserole

","

1 (8 ounce) package wide egg noodles


2 cups chopped cooked chicken breast


8 ounces cooked ham, cubed


8 ounces Swiss cheese, cubed


1 (10.5 ounce) can reduced-fat, reduced-sodium cream of chicken soup


1/2 cup 2% milk 


1/2 cup light sour cream


2 tablespoons butter


1/3 cup seasoned bread crumbs


1/4 cup grated Parmesan cheese

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch casserole dish.




 Bring a large pot of lightly salted water to a boil. Cook egg noodles in boiling water, stirring occasionally, until tender yet firm to the bite, 7 to 9 minutes. Drain and transfer noodles to the prepared casserole dish.

 





 
 Dotdash Meredith Food Studios




 Top noodles with chicken, ham, and Swiss cheese.

 





 
 Dotdash Meredith Food Studios




 Mix together condensed soup, milk, and sour cream in a medium bowl until combined; spoon over noodle mixture in the casserole dish.

 





 
 Dotdash Meredith Food Studios




 Melt butter in a skillet over medium heat; cook and stir bread crumbs and Parmesan cheese in hot butter until crumbs are well coated, 2 to 3 minutes. Sprinkle over casserole.

 





 
 Dotdash Meredith Food Studios




 Bake in the preheated oven until casserole is bubbling and lightly browned, about 30 minutes.

 





 
 Dotdash Meredith Food Studios




 Allow to cool slightly before serving.

 





 
 Dotdash Meredith Food Studios



","
Submitted by
Felicia
","
Nutrition Facts (per serving)



455
Calories


24g 
Fat


30g 
Carbs


30g 
Protein



"
Chicken Marsala,4.6,"(5,961)",Chicken Marsala is an Italian-style recipe for tender pan-fried chicken breasts in a sweet Marsala wine and mushroom sauce. It's super quick and easy to make for a weeknight dinner and sophisticated enough for company.,"

Prep Time:
10 mins


Cook Time:
20 mins


Total Time:
30 mins


Servings:
4 

","

¼ cup all-purpose flour for coating


½ teaspoon salt


¼ teaspoon ground black pepper


½ teaspoon dried oregano


4 medium skinless, boneless chicken breast halves - pounded 1/4 inch thick


4 tablespoons butter


4 tablespoons olive oil


1 cup sliced mushrooms


½ cup Marsala wine


¼ cup cooking sherry

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 In a shallow dish or bowl, mix together the flour, salt, pepper and oregano.

 





 
 Dotdash Meredith Food Studios




 Coat chicken pieces in flour mixture.

 





 
 Dotdash Meredith Food Studios




 In a large skillet, melt butter in olive oil over medium heat. Place chicken in the pan, and lightly brown.

 





 
 Dotdash Meredith Food Studios

 





 
 Dotdash Meredith Food Studios




 Turn over chicken pieces, and add mushrooms. Pour in wine and sherry.

 





 
 Dotdash Meredith Food Studios




 Cover skillet; simmer chicken 10 minutes, turning once, until no longer pink and juices run clear.

 





 
 Dotdash Meredith Food Studios




 Serve hot and enjoy!

 





 
 DOTDASH MEREDITH FOOD STUDIOS



","
By
Allrecipes Member
","
Nutrition Facts (per serving)



448
Calories


27g 
Fat


13g 
Carbs


29g 
Protein



"
Orange Chicken,4.6,"(2,051)","This orange chicken recipe is sticky, sweet, and delicious. It tastes similar to the orange chicken from a popular Chinese restaurant in the mall! It's easier to make than you think for delicious takeout at home.","

Prep Time:
20 mins


Cook Time:
20 mins


Additional Time:
 2 hrs 10 mins


Total Time:
 2 hrs 50 mins


Servings:
4 

","

1 ½ cups water


⅓ cup rice vinegar


¼ cup lemon juice


2 ½ tablespoons soy sauce


2 tablespoons orange juice


1 cup packed brown sugar


2 tablespoons chopped green onion


1 tablespoon grated orange zest


½ teaspoon minced fresh ginger root


½ teaspoon minced garlic


¼ teaspoon red pepper flakes


3 tablespoons cornstarch


2 tablespoons water

","

 Gather all ingredients.

 





 
 Dotdash Meredith Food Studios




 Combine water, rice vinegar, lemon juice, soy sauce, and orange juice for sauce into a saucepan over medium-high heat. Stir in brown sugar, green onion, orange zest, ginger, garlic, and pepper flakes; bring to a boil. Remove from heat, and cool for 10 to 15 minutes.

 





 
 Dotdash Meredith Food Studios




 Place chicken in a resealable plastic bag. Pour in 1 cup cooled sauce. Seal the bag, and refrigerate for at least 2 hours. Reserve the remaining sauce.

 





 
 Dotdash Meredith Food Studios




 Mix flour, salt, and pepper in another resealable plastic bag.




 Remove chicken from the marinade and place into the bag of seasoned flour. Seal the bag and shake to coat.

 





 
 Dotdash Meredith Food Studios




 Heat the olive oil in a large skillet over medium heat. Cook chicken in the hot skillet until browned on both sides.

 





 
 Dotdash Meredith Food Studios




 Remove to a paper towel-lined plate and cover with aluminum foil. Wipe out the skillet.




 Pour reserved sauce into the skillet and bring to a boil over medium-high heat. Mix together cornstarch and water until completely smooth. Stir into the boiling sauce.




 Reduce heat to medium-low, add the chicken, and simmer, stirring occasionally, until cooked through, about 5 minutes.

 





 
 Dotdash Meredith Food Studios




 Serve over rice and enjoy!

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
HARRY WETZEL
","
Nutrition Facts (per serving)



445
Calories


11g 
Fat


69g 
Carbs


18g 
Protein



"
Chicken Tortilla Soup,4.7,"(2,029)","This comforting chicken tortilla soup with shredded chicken, black beans, and corn is quick to make, full of flavor, and very filling! Garnish with chopped fresh avocado, Monterey Jack cheese, crushed tortilla chips, and green onion. ","

Prep Time:
15 mins


Cook Time:
25 mins


Total Time:
40 mins


Servings:
8 

","

1 tablespoon olive oil


1 medium onion, chopped


3 cloves garlic, minced


1 (28 ounce) can crushed tomatoes


1 (10.5 ounce) can condensed chicken broth


1 ¼ cups water


2 teaspoons chili powder


1 teaspoon dried oregano


1 (15 ounce) can black beans, rinsed and drained


2 large boneless chicken breast halves, cooked and cut into bite-sized pieces


1 cup whole corn kernels, cooked


1 cup white hominy


1 (4 ounce) can chopped green chile peppers


¼ cup chopped fresh cilantro


½ cup crushed tortilla chips, or to taste


2 medium avocados, sliced, or to taste


½ cup shredded Monterey Jack cheese, or to taste


2 tablespoons chopped green onions, or to taste

","

 Gather all ingredients.

 





 




 Heat oil in a stockpot over medium heat. Add onion and garlic; sauté until soft, about 5 minutes. Stir in chili powder and oregano.

 





 




 Stir in crushed tomatoes, condensed broth, and water; bring to a boil. Reduce heat and simmer for 5 to 10 minutes.

 





 




 Stir in black beans, cooked chicken, corn, hominy, chile peppers, and cilantro. Simmer for 10 minutes.

 





 




 Ladle soup into individual serving bowls, and top with crushed tortilla chips, avocado slices, Monterey Jack cheese, and green onions.

 





 
 DOTDASH MEREDITH FOOD STUDIOS 



","
Submitted by
Star Pooley
","
Nutrition Facts (per serving)



352
Calories


18g 
Fat


34g 
Carbs


19g 
Protein



"
